economy,period
Senegal,2006Q01
Serbia and Montenegro,2006Q01
Seychelles,2006Q01
Sierra Leone,2006Q01
Singapore,2006Q01
Sint Maarten (Dutch part),2006Q01
Slovenia,2006Q01
Solomon Islands,2006Q01
Somalia,2006Q01
South Africa,2006Q01
Spain,2006Q01
Sri Lanka,2006Q01
Sudan,2006Q01
Sudan (...2011),2006Q01
Suriname,2006Q01
Sweden,2006Q01
Syrian Arab Republic,2006Q01
Thailand,2006Q01
Timor-Leste,2006Q01
Togo,2006Q01
Tonga,2006Q01
Trinidad and Tobago,2006Q01
Tunisia,2006Q01
Turkiye,2006Q01
Turks and Caicos Islands,2006Q01
Ukraine,2006Q01
United Arab Emirates,2006Q01
United Kingdom,2006Q01
United Republic of Tanzania,2006Q01
United States,2006Q01
United States Virgin Islands,2006Q01
Uruguay,2006Q01
Vanuatu,2006Q01
Venezuela (Bolivarian Rep. of),2006Q01
Viet Nam,2006Q01
Wallis and Futuna Islands,2006Q01
Yemen,2006Q01
Algeria,2006Q02
American Samoa,2006Q02
Angola,2006Q02
Anguilla,2006Q02
Antigua and Barbuda,2006Q02
Argentina,2006Q02
Aruba,2006Q02
Australia,2006Q02
Bahamas,2006Q02
Bahrain,2006Q02
Bangladesh,2006Q02
Barbados,2006Q02
Belgium,2006Q02
Belize,2006Q02
Benin,2006Q02
Bermuda,2006Q02
"Bonaire, Sint Eustatius and Saba",2006Q02
Brazil,2006Q02
British Virgin Islands,2006Q02
Brunei Darussalam,2006Q02
Bulgaria,2006Q02
Cabo Verde,2006Q02
Cambodia,2006Q02
Cameroon,2006Q02
Canada,2006Q02
Cayman Islands,2006Q02
Chile,2006Q02
China,2006Q02
"China, Hong Kong SAR",2006Q02
"China, Taiwan Province of",2006Q02
Cocos (Keeling) Islands,2006Q02
Colombia,2006Q02
Comoros,2006Q02
Congo,2006Q02
Cook Islands,2006Q02
Costa Rica,2006Q02
Cote d'Ivoire,2006Q02
Croatia,2006Q02
Cuba,2006Q02
Curacao,2006Q02
Cyprus,2006Q02
Dem. People's Rep. of Korea,2006Q02
Dem. Rep. of the Congo,2006Q02
Denmark,2006Q02
Djibouti,2006Q02
Dominica,2006Q02
Dominican Republic,2006Q02
Ecuador,2006Q02
Egypt,2006Q02
El Salvador,2006Q02
Equatorial Guinea,2006Q02
Eritrea,2006Q02
Estonia,2006Q02
Faroe Islands,2006Q02
Fiji,2006Q02
Finland,2006Q02
France,2006Q02
French Guiana,2006Q02
French Polynesia,2006Q02
Gabon,2006Q02
Gambia,2006Q02
Georgia,2006Q02
Germany,2006Q02
Ghana,2006Q02
Gibraltar,2006Q02
Greece,2006Q02
Greenland,2006Q02
Grenada,2006Q02
Guadeloupe,2006Q02
Guam,2006Q02
Guatemala,2006Q02
Guernsey,2006Q02
Guinea,2006Q02
Guinea-Bissau,2006Q02
Guyana,2006Q02
Haiti,2006Q02
Honduras,2006Q02
Iceland,2006Q02
India,2006Q02
Indonesia,2006Q02
Iran (Islamic Republic of),2006Q02
Iraq,2006Q02
Ireland,2006Q02
Israel,2006Q02
Italy,2006Q02
Jamaica,2006Q02
Japan,2006Q02
Jersey,2006Q02
Jordan,2006Q02
Kenya,2006Q02
Kuwait,2006Q02
Latvia,2006Q02
Lebanon,2006Q02
Liberia,2006Q02
Libya,2006Q02
Lithuania,2006Q02
Madagascar,2006Q02
Malaysia,2006Q02
Maldives,2006Q02
Malta,2006Q02
Marshall Islands,2006Q02
Martinique,2006Q02
Mauritania,2006Q02
Mauritius,2006Q02
Mayotte,2006Q02
Mexico,2006Q02
Micronesia (Federated States of),2006Q02
Montenegro,2006Q02
Morocco,2006Q02
Mozambique,2006Q02
Myanmar,2006Q02
Namibia,2006Q02
Netherlands (Kingdom of the),2006Q02
Netherlands Antilles,2006Q02
New Caledonia,2006Q02
New Zealand,2006Q02
Nicaragua,2006Q02
Nigeria,2006Q02
Norfolk Island,2006Q02
Northern Mariana Islands,2006Q02
Norway,2006Q02
Oman,2006Q02
Pakistan,2006Q02
Palau,2006Q02
Panama,2006Q02
Papua New Guinea,2006Q02
Peru,2006Q02
Philippines,2006Q02
Poland,2006Q02
Portugal,2006Q02
Puerto Rico,2006Q02
Qatar,2006Q02
Republic of Korea,2006Q02
Reunion,2006Q02
Romania,2006Q02
Russian Federation,2006Q02
Saint Kitts and Nevis,2006Q02
Saint Lucia,2006Q02
Saint Vincent and the Grenadines,2006Q02
Samoa,2006Q02
Sao Tome and Principe,2006Q02
Saudi Arabia,2006Q02
Senegal,2006Q02
Serbia and Montenegro,2006Q02
Seychelles,2006Q02
Sierra Leone,2006Q02
Singapore,2006Q02
Sint Maarten (Dutch part),2006Q02
Slovenia,2006Q02
Solomon Islands,2006Q02
Somalia,2006Q02
South Africa,2006Q02
Spain,2006Q02
Sri Lanka,2006Q02
Sudan,2006Q02
Sudan (...2011),2006Q02
Suriname,2006Q02
Sweden,2006Q02
Syrian Arab Republic,2006Q02
Thailand,2006Q02
Timor-Leste,2006Q02
Togo,2006Q02
Tonga,2006Q02
Trinidad and Tobago,2006Q02
Tunisia,2006Q02
Turkiye,2006Q02
Turks and Caicos Islands,2006Q02
Ukraine,2006Q02
United Arab Emirates,2006Q02
United Kingdom,2006Q02
United Republic of Tanzania,2006Q02
United States,2006Q02
United States Virgin Islands,2006Q02
Uruguay,2006Q02
Vanuatu,2006Q02
Venezuela (Bolivarian Rep. of),2006Q02
Viet Nam,2006Q02
Wallis and Futuna Islands,2006Q02
Yemen,2006Q02
Algeria,2006Q03
American Samoa,2006Q03
Angola,2006Q03
Antigua and Barbuda,2006Q03
Argentina,2006Q03
Aruba,2006Q03
Australia,2006Q03
Bahamas,2006Q03
Bahrain,2006Q03
Bangladesh,2006Q03
Barbados,2006Q03
Belgium,2006Q03
Belize,2006Q03
Benin,2006Q03
Bermuda,2006Q03
"Bonaire, Sint Eustatius and Saba",2006Q03
Brazil,2006Q03
British Virgin Islands,2006Q03
Brunei Darussalam,2006Q03
Bulgaria,2006Q03
Cabo Verde,2006Q03
Cambodia,2006Q03
Cameroon,2006Q03
Canada,2006Q03
Cayman Islands,2006Q03
Chile,2006Q03
China,2006Q03
"China, Hong Kong SAR",2006Q03
"China, Taiwan Province of",2006Q03
Cocos (Keeling) Islands,2006Q03
Colombia,2006Q03
Comoros,2006Q03
Congo,2006Q03
Cook Islands,2006Q03
Costa Rica,2006Q03
Cote d'Ivoire,2006Q03
Croatia,2006Q03
Cuba,2006Q03
Curacao,2006Q03
Cyprus,2006Q03
Dem. People's Rep. of Korea,2006Q03
Dem. Rep. of the Congo,2006Q03
Denmark,2006Q03
Djibouti,2006Q03
Dominica,2006Q03
Dominican Republic,2006Q03
Ecuador,2006Q03
Egypt,2006Q03
El Salvador,2006Q03
Equatorial Guinea,2006Q03
Eritrea,2006Q03
Estonia,2006Q03
Faroe Islands,2006Q03
Fiji,2006Q03
Finland,2006Q03
France,2006Q03
French Guiana,2006Q03
French Polynesia,2006Q03
Gabon,2006Q03
Gambia,2006Q03
Georgia,2006Q03
Germany,2006Q03
Ghana,2006Q03
Gibraltar,2006Q03
Greece,2006Q03
Greenland,2006Q03
Grenada,2006Q03
Guadeloupe,2006Q03
Guam,2006Q03
Guatemala,2006Q03
Guernsey,2006Q03
Guinea,2006Q03
Guinea-Bissau,2006Q03
Guyana,2006Q03
Haiti,2006Q03
Honduras,2006Q03
Iceland,2006Q03
India,2006Q03
Indonesia,2006Q03
Iran (Islamic Republic of),2006Q03
Iraq,2006Q03
Ireland,2006Q03
Israel,2006Q03
Italy,2006Q03
Jamaica,2006Q03
Japan,2006Q03
Jersey,2006Q03
Jordan,2006Q03
Kenya,2006Q03
Kuwait,2006Q03
Latvia,2006Q03
Lebanon,2006Q03
Liberia,2006Q03
Libya,2006Q03
Lithuania,2006Q03
Madagascar,2006Q03
Malaysia,2006Q03
Maldives,2006Q03
Malta,2006Q03
Marshall Islands,2006Q03
Martinique,2006Q03
Mauritania,2006Q03
Mauritius,2006Q03
Mayotte,2006Q03
Mexico,2006Q03
Micronesia (Federated States of),2006Q03
Montenegro,2006Q03
Morocco,2006Q03
Mozambique,2006Q03
Myanmar,2006Q03
Namibia,2006Q03
Netherlands (Kingdom of the),2006Q03
Netherlands Antilles,2006Q03
New Caledonia,2006Q03
New Zealand,2006Q03
Nicaragua,2006Q03
Nigeria,2006Q03
Norfolk Island,2006Q03
Northern Mariana Islands,2006Q03
Norway,2006Q03
Oman,2006Q03
Pakistan,2006Q03
Palau,2006Q03
Panama,2006Q03
Papua New Guinea,2006Q03
Peru,2006Q03
Philippines,2006Q03
Poland,2006Q03
Portugal,2006Q03
Puerto Rico,2006Q03
Qatar,2006Q03
Republic of Korea,2006Q03
Reunion,2006Q03
Romania,2006Q03
Russian Federation,2006Q03
Saint Kitts and Nevis,2006Q03
Saint Lucia,2006Q03
Saint Vincent and the Grenadines,2006Q03
Samoa,2006Q03
Sao Tome and Principe,2006Q03
Saudi Arabia,2006Q03
Senegal,2006Q03
Serbia and Montenegro,2006Q03
Seychelles,2006Q03
Sierra Leone,2006Q03
Singapore,2006Q03
Sint Maarten (Dutch part),2006Q03
Slovenia,2006Q03
Solomon Islands,2006Q03
Somalia,2006Q03
South Africa,2006Q03
Spain,2006Q03
Sri Lanka,2006Q03
Sudan,2006Q03
Sudan (...2011),2006Q03
Suriname,2006Q03
Sweden,2006Q03
Syrian Arab Republic,2006Q03
Thailand,2006Q03
Timor-Leste,2006Q03
Togo,2006Q03
Tonga,2006Q03
Trinidad and Tobago,2006Q03
Tunisia,2006Q03
Turkiye,2006Q03
Turks and Caicos Islands,2006Q03
Ukraine,2006Q03
United Arab Emirates,2006Q03
United Kingdom,2006Q03
United Republic of Tanzania,2006Q03
United States,2006Q03
United States Virgin Islands,2006Q03
Uruguay,2006Q03
Vanuatu,2006Q03
Venezuela (Bolivarian Rep. of),2006Q03
Viet Nam,2006Q03
Wallis and Futuna Islands,2006Q03
Yemen,2006Q03
Albania,2006Q04
Algeria,2006Q04
American Samoa,2006Q04
Angola,2006Q04
Antigua and Barbuda,2006Q04
Argentina,2006Q04
Aruba,2006Q04
Australia,2006Q04
Bahamas,2006Q04
Bahrain,2006Q04
Bangladesh,2006Q04
Barbados,2006Q04
Belgium,2006Q04
Belize,2006Q04
Benin,2006Q04
Bermuda,2006Q04
"Bonaire, Sint Eustatius and Saba",2006Q04
Brazil,2006Q04
British Virgin Islands,2006Q04
Brunei Darussalam,2006Q04
Bulgaria,2006Q04
Cabo Verde,2006Q04
Cambodia,2006Q04
Cameroon,2006Q04
Canada,2006Q04
Cayman Islands,2006Q04
Chile,2006Q04
China,2006Q04
"China, Hong Kong SAR",2006Q04
"China, Taiwan Province of",2006Q04
Cocos (Keeling) Islands,2006Q04
Colombia,2006Q04
Comoros,2006Q04
Congo,2006Q04
Cook Islands,2006Q04
Costa Rica,2006Q04
Cote d'Ivoire,2006Q04
Croatia,2006Q04
Cuba,2006Q04
Curacao,2006Q04
Cyprus,2006Q04
Dem. People's Rep. of Korea,2006Q04
Dem. Rep. of the Congo,2006Q04
Denmark,2006Q04
Djibouti,2006Q04
Dominica,2006Q04
Dominican Republic,2006Q04
Ecuador,2006Q04
Egypt,2006Q04
El Salvador,2006Q04
Equatorial Guinea,2006Q04
Eritrea,2006Q04
Estonia,2006Q04
Faroe Islands,2006Q04
Fiji,2006Q04
Finland,2006Q04
France,2006Q04
French Guiana,2006Q04
French Polynesia,2006Q04
Gabon,2006Q04
Gambia,2006Q04
Georgia,2006Q04
Germany,2006Q04
Ghana,2006Q04
Gibraltar,2006Q04
Greece,2006Q04
Greenland,2006Q04
Grenada,2006Q04
Guadeloupe,2006Q04
Guam,2006Q04
Guatemala,2006Q04
Guernsey,2006Q04
Guinea,2006Q04
Guinea-Bissau,2006Q04
Guyana,2006Q04
Haiti,2006Q04
Honduras,2006Q04
Iceland,2006Q04
India,2006Q04
Indonesia,2006Q04
Iran (Islamic Republic of),2006Q04
Iraq,2006Q04
Ireland,2006Q04
Israel,2006Q04
Italy,2006Q04
Jamaica,2006Q04
Japan,2006Q04
Jersey,2006Q04
Jordan,2006Q04
Kenya,2006Q04
Kuwait,2006Q04
Latvia,2006Q04
Lebanon,2006Q04
Liberia,2006Q04
Libya,2006Q04
Lithuania,2006Q04
Madagascar,2006Q04
Malaysia,2006Q04
Maldives,2006Q04
Malta,2006Q04
Marshall Islands,2006Q04
Martinique,2006Q04
Mauritania,2006Q04
Mauritius,2006Q04
Mayotte,2006Q04
Mexico,2006Q04
Micronesia (Federated States of),2006Q04
Montenegro,2006Q04
Morocco,2006Q04
Mozambique,2006Q04
Myanmar,2006Q04
Namibia,2006Q04
Netherlands (Kingdom of the),2006Q04
Netherlands Antilles,2006Q04
New Caledonia,2006Q04
New Zealand,2006Q04
Nicaragua,2006Q04
Nigeria,2006Q04
Norfolk Island,2006Q04
Northern Mariana Islands,2006Q04
Norway,2006Q04
Oman,2006Q04
Pakistan,2006Q04
Palau,2006Q04
Panama,2006Q04
Papua New Guinea,2006Q04
Peru,2006Q04
Philippines,2006Q04
Poland,2006Q04
Portugal,2006Q04
Puerto Rico,2006Q04
Qatar,2006Q04
Republic of Korea,2006Q04
Reunion,2006Q04
Romania,2006Q04
Russian Federation,2006Q04
Saint Kitts and Nevis,2006Q04
Saint Lucia,2006Q04
Saint Vincent and the Grenadines,2006Q04
Samoa,2006Q04
Sao Tome and Principe,2006Q04
Saudi Arabia,2006Q04
Senegal,2006Q04
Serbia and Montenegro,2006Q04
Seychelles,2006Q04
Sierra Leone,2006Q04
Singapore,2006Q04
Sint Maarten (Dutch part),2006Q04
Slovenia,2006Q04
Solomon Islands,2006Q04
Somalia,2006Q04
South Africa,2006Q04
Spain,2006Q04
Sri Lanka,2006Q04
Sudan,2006Q04
Sudan (...2011),2006Q04
Suriname,2006Q04
Sweden,2006Q04
Syrian Arab Republic,2006Q04
Thailand,2006Q04
Timor-Leste,2006Q04
Togo,2006Q04
Tonga,2006Q04
Trinidad and Tobago,2006Q04
Tunisia,2006Q04
Turkiye,2006Q04
Turks and Caicos Islands,2006Q04
Ukraine,2006Q04
United Arab Emirates,2006Q04
United Kingdom,2006Q04
United Republic of Tanzania,2006Q04
United States,2006Q04
United States Virgin Islands,2006Q04
Uruguay,2006Q04
Vanuatu,2006Q04
Venezuela (Bolivarian Rep. of),2006Q04
Viet Nam,2006Q04
Wallis and Futuna Islands,2006Q04
Yemen,2006Q04
Albania,2007Q01
Algeria,2007Q01
American Samoa,2007Q01
Angola,2007Q01
Antigua and Barbuda,2007Q01
Argentina,2007Q01
Aruba,2007Q01
Australia,2007Q01
Bahamas,2007Q01
Bahrain,2007Q01
Bangladesh,2007Q01
Barbados,2007Q01
Belgium,2007Q01
Belize,2007Q01
Benin,2007Q01
Bermuda,2007Q01
"Bonaire, Sint Eustatius and Saba",2007Q01
Brazil,2007Q01
British Virgin Islands,2007Q01
Brunei Darussalam,2007Q01
Bulgaria,2007Q01
Cabo Verde,2007Q01
Cambodia,2007Q01
Cameroon,2007Q01
Canada,2007Q01
Cayman Islands,2007Q01
Chile,2007Q01
China,2007Q01
"China, Hong Kong SAR",2007Q01
"China, Taiwan Province of",2007Q01
Cocos (Keeling) Islands,2007Q01
Colombia,2007Q01
Comoros,2007Q01
Congo,2007Q01
Cook Islands,2007Q01
Costa Rica,2007Q01
Cote d'Ivoire,2007Q01
Croatia,2007Q01
Cuba,2007Q01
Curacao,2007Q01
Cyprus,2007Q01
Dem. People's Rep. of Korea,2007Q01
Dem. Rep. of the Congo,2007Q01
Denmark,2007Q01
Djibouti,2007Q01
Dominica,2007Q01
Dominican Republic,2007Q01
Ecuador,2007Q01
Egypt,2007Q01
El Salvador,2007Q01
Equatorial Guinea,2007Q01
Eritrea,2007Q01
Estonia,2007Q01
Faroe Islands,2007Q01
Fiji,2007Q01
Finland,2007Q01
France,2007Q01
French Guiana,2007Q01
French Polynesia,2007Q01
Gabon,2007Q01
Gambia,2007Q01
Georgia,2007Q01
Germany,2007Q01
Ghana,2007Q01
Gibraltar,2007Q01
Greece,2007Q01
Grenada,2007Q01
Guadeloupe,2007Q01
Guam,2007Q01
Guatemala,2007Q01
Guernsey,2007Q01
Guinea,2007Q01
Guinea-Bissau,2007Q01
Guyana,2007Q01
Haiti,2007Q01
Honduras,2007Q01
Iceland,2007Q01
India,2007Q01
Indonesia,2007Q01
Iran (Islamic Republic of),2007Q01
Iraq,2007Q01
Ireland,2007Q01
Israel,2007Q01
Italy,2007Q01
Jamaica,2007Q01
Japan,2007Q01
Jersey,2007Q01
Jordan,2007Q01
Kenya,2007Q01
Kuwait,2007Q01
Latvia,2007Q01
Lebanon,2007Q01
Liberia,2007Q01
Libya,2007Q01
Lithuania,2007Q01
Madagascar,2007Q01
Malaysia,2007Q01
Maldives,2007Q01
Malta,2007Q01
Marshall Islands,2007Q01
Martinique,2007Q01
Mauritania,2007Q01
Mauritius,2007Q01
Mayotte,2007Q01
Mexico,2007Q01
Micronesia (Federated States of),2007Q01
Montenegro,2007Q01
Morocco,2007Q01
Mozambique,2007Q01
Myanmar,2007Q01
Namibia,2007Q01
Netherlands (Kingdom of the),2007Q01
Netherlands Antilles,2007Q01
New Caledonia,2007Q01
New Zealand,2007Q01
Nicaragua,2007Q01
Nigeria,2007Q01
Norfolk Island,2007Q01
Northern Mariana Islands,2007Q01
Norway,2007Q01
Oman,2007Q01
Pakistan,2007Q01
Palau,2007Q01
Panama,2007Q01
Papua New Guinea,2007Q01
Peru,2007Q01
Philippines,2007Q01
Poland,2007Q01
Portugal,2007Q01
Puerto Rico,2007Q01
Qatar,2007Q01
Republic of Korea,2007Q01
Reunion,2007Q01
Romania,2007Q01
Russian Federation,2007Q01
Saint Kitts and Nevis,2007Q01
Saint Lucia,2007Q01
Saint Vincent and the Grenadines,2007Q01
Samoa,2007Q01
Sao Tome and Principe,2007Q01
Saudi Arabia,2007Q01
Senegal,2007Q01
Serbia and Montenegro,2007Q01
Seychelles,2007Q01
Sierra Leone,2007Q01
Singapore,2007Q01
Sint Maarten (Dutch part),2007Q01
Slovenia,2007Q01
Solomon Islands,2007Q01
Somalia,2007Q01
South Africa,2007Q01
Spain,2007Q01
Sri Lanka,2007Q01
Sudan,2007Q01
Sudan (...2011),2007Q01
Suriname,2007Q01
Sweden,2007Q01
Syrian Arab Republic,2007Q01
Thailand,2007Q01
Timor-Leste,2007Q01
Togo,2007Q01
Tonga,2007Q01
Trinidad and Tobago,2007Q01
Tunisia,2007Q01
Turkiye,2007Q01
Turks and Caicos Islands,2007Q01
Ukraine,2007Q01
United Arab Emirates,2007Q01
United Kingdom,2007Q01
United Republic of Tanzania,2007Q01
United States,2007Q01
United States Virgin Islands,2007Q01
Uruguay,2007Q01
Vanuatu,2007Q01
Venezuela (Bolivarian Rep. of),2007Q01
Viet Nam,2007Q01
Wallis and Futuna Islands,2007Q01
Yemen,2007Q01
Albania,2007Q02
Algeria,2007Q02
American Samoa,2007Q02
Angola,2007Q02
Anguilla,2007Q02
Antigua and Barbuda,2007Q02
Argentina,2007Q02
Aruba,2007Q02
Australia,2007Q02
Bahamas,2007Q02
Bahrain,2007Q02
Bangladesh,2007Q02
Barbados,2007Q02
Belgium,2007Q02
Belize,2007Q02
Benin,2007Q02
Bermuda,2007Q02
"Bonaire, Sint Eustatius and Saba",2007Q02
Brazil,2007Q02
British Virgin Islands,2007Q02
Brunei Darussalam,2007Q02
Bulgaria,2007Q02
Cabo Verde,2007Q02
Cambodia,2007Q02
Cameroon,2007Q02
Canada,2007Q02
Cayman Islands,2007Q02
Chile,2007Q02
China,2007Q02
"China, Hong Kong SAR",2007Q02
"China, Taiwan Province of",2007Q02
Cocos (Keeling) Islands,2007Q02
Colombia,2007Q02
Comoros,2007Q02
Congo,2007Q02
Cook Islands,2007Q02
Costa Rica,2007Q02
Cote d'Ivoire,2007Q02
Croatia,2007Q02
Cuba,2007Q02
Curacao,2007Q02
Cyprus,2007Q02
Dem. People's Rep. of Korea,2007Q02
Dem. Rep. of the Congo,2007Q02
Denmark,2007Q02
Djibouti,2007Q02
Dominica,2007Q02
Dominican Republic,2007Q02
Ecuador,2007Q02
Egypt,2007Q02
El Salvador,2007Q02
Equatorial Guinea,2007Q02
Eritrea,2007Q02
Estonia,2007Q02
Faroe Islands,2007Q02
Fiji,2007Q02
Finland,2007Q02
France,2007Q02
French Guiana,2007Q02
French Polynesia,2007Q02
Gabon,2007Q02
Gambia,2007Q02
Georgia,2007Q02
Germany,2007Q02
Ghana,2007Q02
Gibraltar,2007Q02
Greece,2007Q02
Grenada,2007Q02
Guadeloupe,2007Q02
Guam,2007Q02
Guatemala,2007Q02
Guernsey,2007Q02
Guinea,2007Q02
Guinea-Bissau,2007Q02
Guyana,2007Q02
Haiti,2007Q02
Honduras,2007Q02
Iceland,2007Q02
India,2007Q02
Indonesia,2007Q02
Iran (Islamic Republic of),2007Q02
Iraq,2007Q02
Ireland,2007Q02
Israel,2007Q02
Italy,2007Q02
Jamaica,2007Q02
Japan,2007Q02
Jersey,2007Q02
Jordan,2007Q02
Kenya,2007Q02
Kuwait,2007Q02
Latvia,2007Q02
Lebanon,2007Q02
Liberia,2007Q02
Libya,2007Q02
Lithuania,2007Q02
Madagascar,2007Q02
Malaysia,2007Q02
Maldives,2007Q02
Malta,2007Q02
Marshall Islands,2007Q02
Martinique,2007Q02
Mauritania,2007Q02
Mauritius,2007Q02
Mayotte,2007Q02
Mexico,2007Q02
Micronesia (Federated States of),2007Q02
Montenegro,2007Q02
Montserrat,2007Q02
Morocco,2007Q02
Mozambique,2007Q02
Myanmar,2007Q02
Namibia,2007Q02
Netherlands (Kingdom of the),2007Q02
Netherlands Antilles,2007Q02
New Caledonia,2007Q02
New Zealand,2007Q02
Nicaragua,2007Q02
Nigeria,2007Q02
Norfolk Island,2007Q02
Northern Mariana Islands,2007Q02
Norway,2007Q02
Oman,2007Q02
Pakistan,2007Q02
Palau,2007Q02
Panama,2007Q02
Papua New Guinea,2007Q02
Peru,2007Q02
Philippines,2007Q02
Poland,2007Q02
Portugal,2007Q02
Puerto Rico,2007Q02
Qatar,2007Q02
Republic of Korea,2007Q02
Reunion,2007Q02
Romania,2007Q02
Russian Federation,2007Q02
Saint Kitts and Nevis,2007Q02
Saint Lucia,2007Q02
Saint Vincent and the Grenadines,2007Q02
Samoa,2007Q02
Sao Tome and Principe,2007Q02
Saudi Arabia,2007Q02
Senegal,2007Q02
Serbia and Montenegro,2007Q02
Seychelles,2007Q02
Sierra Leone,2007Q02
Singapore,2007Q02
Sint Maarten (Dutch part),2007Q02
Slovenia,2007Q02
Solomon Islands,2007Q02
Somalia,2007Q02
South Africa,2007Q02
Spain,2007Q02
Sri Lanka,2007Q02
Sudan,2007Q02
Sudan (...2011),2007Q02
Suriname,2007Q02
Sweden,2007Q02
Syrian Arab Republic,2007Q02
Thailand,2007Q02
Timor-Leste,2007Q02
Togo,2007Q02
Tonga,2007Q02
Trinidad and Tobago,2007Q02
Tunisia,2007Q02
Turkiye,2007Q02
Turks and Caicos Islands,2007Q02
Ukraine,2007Q02
United Arab Emirates,2007Q02
United Kingdom,2007Q02
United Republic of Tanzania,2007Q02
United States,2007Q02
United States Virgin Islands,2007Q02
Uruguay,2007Q02
Vanuatu,2007Q02
Venezuela (Bolivarian Rep. of),2007Q02
Viet Nam,2007Q02
Wallis and Futuna Islands,2007Q02
Yemen,2007Q02
Albania,2007Q03
Algeria,2007Q03
American Samoa,2007Q03
Angola,2007Q03
Anguilla,2007Q03
Antigua and Barbuda,2007Q03
Argentina,2007Q03
Aruba,2007Q03
Australia,2007Q03
Bahamas,2007Q03
Bahrain,2007Q03
Bangladesh,2007Q03
Barbados,2007Q03
Belgium,2007Q03
Belize,2007Q03
Benin,2007Q03
Bermuda,2007Q03
"Bonaire, Sint Eustatius and Saba",2007Q03
Brazil,2007Q03
British Virgin Islands,2007Q03
Brunei Darussalam,2007Q03
Bulgaria,2007Q03
Cabo Verde,2007Q03
Cambodia,2007Q03
Cameroon,2007Q03
Canada,2007Q03
Cayman Islands,2007Q03
Chile,2007Q03
China,2007Q03
"China, Hong Kong SAR",2007Q03
"China, Taiwan Province of",2007Q03
