economy,period,lsci_value,iso2,iso3,region,year,quarter,lsci_growth_pct
Algeria,2008Q01,57.62161,DZ,DZA,Africa,2008,01,2.06
Algeria,2008Q02,61.59717,DZ,DZA,Africa,2008,02,6.9
Algeria,2008Q03,63.79905,DZ,DZA,Africa,2008,03,3.57
Algeria,2008Q04,63.86562,DZ,DZA,Africa,2008,04,0.1
Algeria,2009Q01,64.44529,DZ,DZA,Africa,2009,01,0.91
Algeria,2009Q02,64.27344,DZ,DZA,Africa,2009,02,-0.27
Algeria,2009Q03,59.47406,DZ,DZA,Africa,2009,03,-7.47
Algeria,2009Q04,59.2322,DZ,DZA,Africa,2009,04,-0.41
Algeria,2010Q01,62.07616,DZ,DZA,Africa,2010,01,4.8
Algeria,2010Q02,63.84532,DZ,DZA,Africa,2010,02,2.85
Algeria,2010Q03,65.40353,DZ,DZA,Africa,2010,03,2.44
Algeria,2010Q04,64.78728,DZ,DZA,Africa,2010,04,-0.94
Algeria,2011Q01,60.94776,DZ,DZA,Africa,2011,01,-5.93
Algeria,2011Q02,62.95872,DZ,DZA,Africa,2011,02,3.3
Algeria,2011Q03,57.92759,DZ,DZA,Africa,2011,03,-7.99
Algeria,2011Q04,58.75514,DZ,DZA,Africa,2011,04,1.43
Algeria,2012Q01,53.37098,DZ,DZA,Africa,2012,01,-9.16
Algeria,2012Q02,54.25939,DZ,DZA,Africa,2012,02,1.66
Algeria,2012Q03,55.66209,DZ,DZA,Africa,2012,03,2.59
Algeria,2012Q04,55.11026,DZ,DZA,Africa,2012,04,-0.99
Algeria,2013Q01,53.61221,DZ,DZA,Africa,2013,01,-2.72
Algeria,2013Q02,56.44776,DZ,DZA,Africa,2013,02,5.29
Algeria,2013Q03,60.92894,DZ,DZA,Africa,2013,03,7.94
Algeria,2013Q04,54.81497,DZ,DZA,Africa,2013,04,-10.03
Algeria,2014Q01,59.01469,DZ,DZA,Africa,2014,01,7.66
Algeria,2014Q02,62.45373,DZ,DZA,Africa,2014,02,5.83
Algeria,2014Q03,66.54089,DZ,DZA,Africa,2014,03,6.54
Algeria,2014Q04,66.10041,DZ,DZA,Africa,2014,04,-0.66
Algeria,2015Q01,74.96388,DZ,DZA,Africa,2015,01,13.41
Algeria,2015Q02,73.04514,DZ,DZA,Africa,2015,02,-2.56
Algeria,2015Q03,70.5027,DZ,DZA,Africa,2015,03,-3.48
Algeria,2015Q04,74.17114,DZ,DZA,Africa,2015,04,5.2
Algeria,2016Q01,77.15619,DZ,DZA,Africa,2016,01,4.02
Algeria,2016Q02,77.66562,DZ,DZA,Africa,2016,02,0.66
Algeria,2016Q03,76.19119,DZ,DZA,Africa,2016,03,-1.9
Algeria,2016Q04,76.76075,DZ,DZA,Africa,2016,04,0.75
Algeria,2017Q01,73.03893,DZ,DZA,Africa,2017,01,-4.85
Algeria,2017Q02,68.12938,DZ,DZA,Africa,2017,02,-6.72
Algeria,2017Q03,68.57312,DZ,DZA,Africa,2017,03,0.65
Algeria,2017Q04,71.26555,DZ,DZA,Africa,2017,04,3.93
Algeria,2018Q01,71.06434,DZ,DZA,Africa,2018,01,-0.28
Algeria,2018Q02,72.26401,DZ,DZA,Africa,2018,02,1.69
Algeria,2018Q03,72.60928,DZ,DZA,Africa,2018,03,0.48
Algeria,2018Q04,69.93441,DZ,DZA,Africa,2018,04,-3.68
Algeria,2019Q01,64.57779,DZ,DZA,Africa,2019,01,-7.66
Algeria,2019Q02,67.78268,DZ,DZA,Africa,2019,02,4.96
Algeria,2019Q03,72.21499,DZ,DZA,Africa,2019,03,6.54
Algeria,2019Q04,73.23973,DZ,DZA,Africa,2019,04,1.42
Algeria,2020Q01,69.42623,DZ,DZA,Africa,2020,01,-5.21
Algeria,2020Q02,68.655,DZ,DZA,Africa,2020,02,-1.11
Algeria,2020Q03,71.42915,DZ,DZA,Africa,2020,03,4.04
Algeria,2020Q04,68.05981,DZ,DZA,Africa,2020,04,-4.72
Algeria,2021Q01,67.36658,DZ,DZA,Africa,2021,01,-1.02
Algeria,2021Q02,64.49471,DZ,DZA,Africa,2021,02,-4.26
Algeria,2021Q03,64.028,DZ,DZA,Africa,2021,03,-0.72
Algeria,2021Q04,62.91161,DZ,DZA,Africa,2021,04,-1.74
Algeria,2022Q01,61.06308,DZ,DZA,Africa,2022,01,-2.94
Algeria,2022Q02,55.70339,DZ,DZA,Africa,2022,02,-8.78
Algeria,2022Q03,61.28789,DZ,DZA,Africa,2022,03,10.03
Algeria,2022Q04,61.35461,DZ,DZA,Africa,2022,04,0.11
Algeria,2023Q01,62.19849,DZ,DZA,Africa,2023,01,1.38
Algeria,2023Q02,64.67181,DZ,DZA,Africa,2023,02,3.98
Algeria,2023Q03,67.27559,DZ,DZA,Africa,2023,03,4.03
Algeria,2023Q04,68.65158,DZ,DZA,Africa,2023,04,2.05
Algeria,2024Q01,70.42602,DZ,DZA,Africa,2024,01,2.58
Algeria,2024Q02,71.01346,DZ,DZA,Africa,2024,02,0.83
Algeria,2024Q03,72.94454,DZ,DZA,Africa,2024,03,2.72
Algeria,2024Q04,67.86263,DZ,DZA,Africa,2024,04,-6.97
American Samoa,2006Q01,31.727899999999998,AS,ASM,Oceania,2006,01,
American Samoa,2006Q02,31.72275,AS,ASM,Oceania,2006,02,-0.02
American Samoa,2006Q03,41.08027,AS,ASM,Oceania,2006,03,29.5
American Samoa,2006Q04,38.53257,AS,ASM,Oceania,2006,04,-6.2
American Samoa,2007Q01,37.85513,AS,ASM,Oceania,2007,01,-1.76
American Samoa,2007Q02,37.85513,AS,ASM,Oceania,2007,02,0.0
American Samoa,2007Q03,38.54582,AS,ASM,Oceania,2007,03,1.82
American Samoa,2007Q04,33.62591,AS,ASM,Oceania,2007,04,-12.76
American Samoa,2008Q01,33.62591,AS,ASM,Oceania,2008,01,0.0
American Samoa,2008Q02,34.51439,AS,ASM,Oceania,2008,02,2.64
American Samoa,2008Q03,31.37813,AS,ASM,Oceania,2008,03,-9.09
American Samoa,2008Q04,30.77244,AS,ASM,Oceania,2008,04,-1.93
American Samoa,2009Q01,30.02124,AS,ASM,Oceania,2009,01,-2.44
American Samoa,2009Q02,30.0211,AS,ASM,Oceania,2009,02,-0.0
American Samoa,2009Q03,22.8503,AS,ASM,Oceania,2009,03,-23.89
American Samoa,2009Q04,22.8503,AS,ASM,Oceania,2009,04,0.0
American Samoa,2010Q01,22.8503,AS,ASM,Oceania,2010,01,0.0
American Samoa,2010Q02,20.77037,AS,ASM,Oceania,2010,02,-9.1
American Samoa,2010Q03,20.0672,AS,ASM,Oceania,2010,03,-3.39
American Samoa,2010Q04,20.0672,AS,ASM,Oceania,2010,04,0.0
American Samoa,2011Q01,19.98397,AS,ASM,Oceania,2011,01,-0.41
American Samoa,2011Q02,21.96576,AS,ASM,Oceania,2011,02,9.92
American Samoa,2011Q03,19.54005,AS,ASM,Oceania,2011,03,-11.04
American Samoa,2011Q04,19.54005,AS,ASM,Oceania,2011,04,0.0
American Samoa,2012Q01,19.54005,AS,ASM,Oceania,2012,01,0.0
American Samoa,2012Q02,20.10207,AS,ASM,Oceania,2012,02,2.88
American Samoa,2012Q03,20.10207,AS,ASM,Oceania,2012,03,0.0
American Samoa,2012Q04,19.42463,AS,ASM,Oceania,2012,04,-3.37
American Samoa,2013Q01,19.42463,AS,ASM,Oceania,2013,01,0.0
American Samoa,2013Q02,19.42463,AS,ASM,Oceania,2013,02,0.0
American Samoa,2013Q03,23.73127,AS,ASM,Oceania,2013,03,22.17
American Samoa,2013Q04,23.73127,AS,ASM,Oceania,2013,04,0.0
American Samoa,2014Q01,21.84834,AS,ASM,Oceania,2014,01,-7.93
American Samoa,2014Q02,20.81249,AS,ASM,Oceania,2014,02,-4.74
American Samoa,2014Q03,20.81249,AS,ASM,Oceania,2014,03,0.0
American Samoa,2014Q04,23.93834,AS,ASM,Oceania,2014,04,15.02
American Samoa,2015Q01,23.93759,AS,ASM,Oceania,2015,01,-0.0
American Samoa,2015Q02,23.93759,AS,ASM,Oceania,2015,02,0.0
American Samoa,2015Q03,23.92755,AS,ASM,Oceania,2015,03,-0.04
American Samoa,2015Q04,24.70955,AS,ASM,Oceania,2015,04,3.27
American Samoa,2016Q01,25.39653,AS,ASM,Oceania,2016,01,2.78
American Samoa,2016Q02,22.90262,AS,ASM,Oceania,2016,02,-9.82
American Samoa,2016Q03,25.29878,AS,ASM,Oceania,2016,03,10.46
American Samoa,2016Q04,25.32301,AS,ASM,Oceania,2016,04,0.1
American Samoa,2017Q01,25.40302,AS,ASM,Oceania,2017,01,0.32
American Samoa,2017Q02,25.40302,AS,ASM,Oceania,2017,02,0.0
American Samoa,2017Q03,25.6034,AS,ASM,Oceania,2017,03,0.79
American Samoa,2017Q04,25.6034,AS,ASM,Oceania,2017,04,0.0
American Samoa,2018Q01,25.86267,AS,ASM,Oceania,2018,01,1.01
American Samoa,2018Q02,25.84106,AS,ASM,Oceania,2018,02,-0.08
American Samoa,2018Q03,25.81047,AS,ASM,Oceania,2018,03,-0.12
American Samoa,2018Q04,25.73497,AS,ASM,Oceania,2018,04,-0.29
American Samoa,2019Q01,25.73497,AS,ASM,Oceania,2019,01,0.0
American Samoa,2019Q02,25.73559,AS,ASM,Oceania,2019,02,0.0
American Samoa,2019Q03,25.73559,AS,ASM,Oceania,2019,03,0.0
American Samoa,2019Q04,27.08819,AS,ASM,Oceania,2019,04,5.26
American Samoa,2020Q01,28.65962,AS,ASM,Oceania,2020,01,5.8
American Samoa,2020Q02,28.65962,AS,ASM,Oceania,2020,02,0.0
American Samoa,2020Q03,28.65841,AS,ASM,Oceania,2020,03,-0.0
American Samoa,2020Q04,28.38155,AS,ASM,Oceania,2020,04,-0.97
American Samoa,2021Q01,28.38841,AS,ASM,Oceania,2021,01,0.02
American Samoa,2021Q02,28.38841,AS,ASM,Oceania,2021,02,0.0
American Samoa,2021Q03,28.31392,AS,ASM,Oceania,2021,03,-0.26
American Samoa,2021Q04,28.23184,AS,ASM,Oceania,2021,04,-0.29
American Samoa,2022Q01,28.23914,AS,ASM,Oceania,2022,01,0.03
American Samoa,2022Q02,28.23914,AS,ASM,Oceania,2022,02,0.0
American Samoa,2022Q03,28.23914,AS,ASM,Oceania,2022,03,0.0
American Samoa,2022Q04,28.23914,AS,ASM,Oceania,2022,04,0.0
American Samoa,2023Q01,29.74623,AS,ASM,Oceania,2023,01,5.34
American Samoa,2023Q02,28.23276,AS,ASM,Oceania,2023,02,-5.09
American Samoa,2023Q03,27.90022,AS,ASM,Oceania,2023,03,-1.18
American Samoa,2023Q04,27.90022,AS,ASM,Oceania,2023,04,0.0
American Samoa,2024Q01,27.90022,AS,ASM,Oceania,2024,01,0.0
American Samoa,2024Q02,27.977240000000002,AS,ASM,Oceania,2024,02,0.28
American Samoa,2024Q03,26.17979,AS,ASM,Oceania,2024,03,-6.42
American Samoa,2024Q04,26.16183,AS,ASM,Oceania,2024,04,-0.07
Angola,2006Q01,61.5449,AO,AGO,Africa,2006,01,
Angola,2006Q02,63.25063,AO,AGO,Africa,2006,02,2.77
Angola,2006Q03,65.20303,AO,AGO,Africa,2006,03,3.09
Angola,2006Q04,63.82782,AO,AGO,Africa,2006,04,-2.11
Angola,2007Q01,60.48298,AO,AGO,Africa,2007,01,-5.24
Angola,2007Q02,63.17286,AO,AGO,Africa,2007,02,4.45
Angola,2007Q03,62.73213,AO,AGO,Africa,2007,03,-0.7
Angola,2007Q04,66.54717,AO,AGO,Africa,2007,04,6.08
Angola,2008Q01,67.69749,AO,AGO,Africa,2008,01,1.73
Angola,2008Q02,69.63317,AO,AGO,Africa,2008,02,2.86
Angola,2008Q03,62.553,AO,AGO,Africa,2008,03,-10.17
Angola,2008Q04,67.15968,AO,AGO,Africa,2008,04,7.36
Angola,2009Q01,73.41293,AO,AGO,Africa,2009,01,9.31
Angola,2009Q02,73.35272,AO,AGO,Africa,2009,02,-0.08
Angola,2009Q03,79.0574,AO,AGO,Africa,2009,03,7.78
Angola,2009Q04,79.08751,AO,AGO,Africa,2009,04,0.04
Angola,2010Q01,74.60213,AO,AGO,Africa,2010,01,-5.67
Angola,2010Q02,73.0638,AO,AGO,Africa,2010,02,-2.06
Angola,2010Q03,75.75829,AO,AGO,Africa,2010,03,3.69
Angola,2010Q04,73.6058,AO,AGO,Africa,2010,04,-2.84
Angola,2011Q01,73.4394,AO,AGO,Africa,2011,01,-0.23
Angola,2011Q02,73.40986,AO,AGO,Africa,2011,02,-0.04
Angola,2011Q03,69.7255,AO,AGO,Africa,2011,03,-5.02
Angola,2011Q04,69.38627,AO,AGO,Africa,2011,04,-0.49
Angola,2012Q01,67.3599,AO,AGO,Africa,2012,01,-2.92
Angola,2012Q02,72.29508,AO,AGO,Africa,2012,02,7.33
Angola,2012Q03,76.91215,AO,AGO,Africa,2012,03,6.39
Angola,2012Q04,79.83,AO,AGO,Africa,2012,04,3.79
Angola,2013Q01,80.10744,AO,AGO,Africa,2013,01,0.35
Angola,2013Q02,79.67133,AO,AGO,Africa,2013,02,-0.54
Angola,2013Q03,81.07917,AO,AGO,Africa,2013,03,1.77
Angola,2013Q04,79.61098,AO,AGO,Africa,2013,04,-1.81
Angola,2014Q01,84.85564,AO,AGO,Africa,2014,01,6.59
Angola,2014Q02,82.6545,AO,AGO,Africa,2014,02,-2.59
Angola,2014Q03,79.53007,AO,AGO,Africa,2014,03,-3.78
Angola,2014Q04,77.20224,AO,AGO,Africa,2014,04,-2.93
Angola,2015Q01,75.67117,AO,AGO,Africa,2015,01,-1.98
Angola,2015Q02,73.96883,AO,AGO,Africa,2015,02,-2.25
Angola,2015Q03,74.47718,AO,AGO,Africa,2015,03,0.69
Angola,2015Q04,74.25945,AO,AGO,Africa,2015,04,-0.29
Angola,2016Q01,82.42208,AO,AGO,Africa,2016,01,10.99
Angola,2016Q02,78.98123,AO,AGO,Africa,2016,02,-4.17
Angola,2016Q03,77.66877,AO,AGO,Africa,2016,03,-1.66
Angola,2016Q04,76.17869,AO,AGO,Africa,2016,04,-1.92
Angola,2017Q01,76.40629,AO,AGO,Africa,2017,01,0.3
Angola,2017Q02,69.74157,AO,AGO,Africa,2017,02,-8.72
Angola,2017Q03,68.8599,AO,AGO,Africa,2017,03,-1.26
Angola,2017Q04,70.47853,AO,AGO,Africa,2017,04,2.35
Angola,2018Q01,69.4655,AO,AGO,Africa,2018,01,-1.44
Angola,2018Q02,70.42111,AO,AGO,Africa,2018,02,1.38
Angola,2018Q03,66.85771,AO,AGO,Africa,2018,03,-5.06
Angola,2018Q04,62.72388,AO,AGO,Africa,2018,04,-6.18
Angola,2019Q01,61.7633,AO,AGO,Africa,2019,01,-1.53
Angola,2019Q02,69.74062,AO,AGO,Africa,2019,02,12.92
Angola,2019Q03,69.43223,AO,AGO,Africa,2019,03,-0.44
Angola,2019Q04,73.72665,AO,AGO,Africa,2019,04,6.19
Angola,2020Q01,69.35348,AO,AGO,Africa,2020,01,-5.93
Angola,2020Q02,64.61718,AO,AGO,Africa,2020,02,-6.83
Angola,2020Q03,67.17696,AO,AGO,Africa,2020,03,3.96
Angola,2020Q04,56.7496,AO,AGO,Africa,2020,04,-15.52
Angola,2021Q01,56.75899,AO,AGO,Africa,2021,01,0.02
Angola,2021Q02,55.98627,AO,AGO,Africa,2021,02,-1.36
Angola,2021Q03,56.1338,AO,AGO,Africa,2021,03,0.26
Angola,2021Q04,55.50846,AO,AGO,Africa,2021,04,-1.11
Angola,2022Q01,54.81619,AO,AGO,Africa,2022,01,-1.25
Angola,2022Q02,54.76062,AO,AGO,Africa,2022,02,-0.1
Angola,2022Q03,55.97424,AO,AGO,Africa,2022,03,2.22
Angola,2022Q04,56.35522,AO,AGO,Africa,2022,04,0.68
Angola,2023Q01,56.41519,AO,AGO,Africa,2023,01,0.11
Angola,2023Q02,56.44999,AO,AGO,Africa,2023,02,0.06
Angola,2023Q03,56.41023,AO,AGO,Africa,2023,03,-0.07
Angola,2023Q04,56.4184,AO,AGO,Africa,2023,04,0.01
Angola,2024Q01,55.87361,AO,AGO,Africa,2024,01,-0.97
Angola,2024Q02,60.19901,AO,AGO,Africa,2024,02,7.74
Angola,2024Q03,61.34562,AO,AGO,Africa,2024,03,1.9
Angola,2024Q04,62.32805,AO,AGO,Africa,2024,04,1.6
Anguilla,2006Q01,7.73145,AI,AIA,North America,2006,01,
Anguilla,2006Q02,6.89738,AI,AIA,North America,2006,02,-10.79
Anguilla,2007Q02,9.6588,AI,AIA,North America,2007,02,40.04
Anguilla,2007Q03,9.6588,AI,AIA,North America,2007,03,0.0
Anguilla,2010Q04,7.98241,AI,AIA,North America,2010,04,-17.36
Anguilla,2011Q04,10.3151,AI,AIA,North America,2011,04,29.22
Anguilla,2012Q01,10.3151,AI,AIA,North America,2012,01,0.0
Anguilla,2012Q02,10.3151,AI,AIA,North America,2012,02,0.0
Anguilla,2012Q03,10.3151,AI,AIA,North America,2012,03,0.0
Anguilla,2012Q04,10.3151,AI,AIA,North America,2012,04,0.0
Anguilla,2013Q01,10.3151,AI,AIA,North America,2013,01,0.0
Anguilla,2013Q02,10.3151,AI,AIA,North America,2013,02,0.0
Anguilla,2013Q03,10.3151,AI,AIA,North America,2013,03,0.0
Anguilla,2013Q04,10.3151,AI,AIA,North America,2013,04,0.0
Anguilla,2014Q01,10.3151,AI,AIA,North America,2014,01,0.0
Anguilla,2014Q02,10.3151,AI,AIA,North America,2014,02,0.0
Anguilla,2014Q03,10.3151,AI,AIA,North America,2014,03,0.0
Anguilla,2014Q04,10.3151,AI,AIA,North America,2014,04,0.0
Anguilla,2015Q01,10.3151,AI,AIA,North America,2015,01,0.0
Anguilla,2015Q02,10.3151,AI,AIA,North America,2015,02,0.0
Anguilla,2015Q03,10.3151,AI,AIA,North America,2015,03,0.0
Anguilla,2015Q04,10.3151,AI,AIA,North America,2015,04,0.0
Anguilla,2016Q01,15.92312,AI,AIA,North America,2016,01,54.37
Anguilla,2016Q02,18.3077,AI,AIA,North America,2016,02,14.98
Anguilla,2016Q03,18.3077,AI,AIA,North America,2016,03,0.0
Anguilla,2016Q04,18.26579,AI,AIA,North America,2016,04,-0.23
Anguilla,2017Q01,18.30922,AI,AIA,North America,2017,01,0.24
Anguilla,2017Q02,18.30922,AI,AIA,North America,2017,02,0.0
Anguilla,2017Q03,18.30922,AI,AIA,North America,2017,03,0.0
Anguilla,2017Q04,18.30238,AI,AIA,North America,2017,04,-0.04
Anguilla,2018Q01,18.30238,AI,AIA,North America,2018,01,0.0
Anguilla,2018Q02,18.30238,AI,AIA,North America,2018,02,0.0
Anguilla,2018Q03,18.30238,AI,AIA,North America,2018,03,0.0
Anguilla,2018Q04,18.30238,AI,AIA,North America,2018,04,0.0
Anguilla,2019Q01,13.993780000000001,AI,AIA,North America,2019,01,-23.54
Anguilla,2019Q02,13.993780000000001,AI,AIA,North America,2019,02,0.0
Anguilla,2019Q03,13.993780000000001,AI,AIA,North America,2019,03,0.0
Anguilla,2019Q04,13.993780000000001,AI,AIA,North America,2019,04,0.0
Anguilla,2020Q01,13.993780000000001,AI,AIA,North America,2020,01,0.0
Anguilla,2020Q02,13.993780000000001,AI,AIA,North America,2020,02,0.0
Anguilla,2020Q03,13.993780000000001,AI,AIA,North America,2020,03,0.0
Anguilla,2020Q04,13.993780000000001,AI,AIA,North America,2020,04,0.0
Anguilla,2021Q01,13.993780000000001,AI,AIA,North America,2021,01,0.0
Anguilla,2021Q02,13.993780000000001,AI,AIA,North America,2021,02,0.0
Anguilla,2021Q03,13.993780000000001,AI,AIA,North America,2021,03,0.0
Antigua and Barbuda,2006Q01,22.93111,AG,ATG,North America,2006,01,
Antigua and Barbuda,2006Q02,24.65153,AG,ATG,North America,2006,02,7.5
Antigua and Barbuda,2006Q03,24.66254,AG,ATG,North America,2006,03,0.04
Antigua and Barbuda,2006Q04,24.66254,AG,ATG,North America,2006,04,0.0
Antigua and Barbuda,2007Q01,24.66254,AG,ATG,North America,2007,01,0.0
Antigua and Barbuda,2007Q02,24.66254,AG,ATG,North America,2007,02,0.0
Antigua and Barbuda,2007Q03,27.57788,AG,ATG,North America,2007,03,11.82
Antigua and Barbuda,2007Q04,26.11907,AG,ATG,North America,2007,04,-5.29
Antigua and Barbuda,2008Q01,27.17216,AG,ATG,North America,2008,01,4.03
Antigua and Barbuda,2008Q02,25.14268,AG,ATG,North America,2008,02,-7.47
Antigua and Barbuda,2008Q03,25.14268,AG,ATG,North America,2008,03,0.0
Antigua and Barbuda,2008Q04,25.14268,AG,ATG,North America,2008,04,0.0
Antigua and Barbuda,2009Q01,25.14268,AG,ATG,North America,2009,01,0.0
Antigua and Barbuda,2009Q02,25.24927,AG,ATG,North America,2009,02,0.42
Antigua and Barbuda,2009Q03,25.24927,AG,ATG,North America,2009,03,0.0
Antigua and Barbuda,2009Q04,25.24927,AG,ATG,North America,2009,04,0.0
Antigua and Barbuda,2010Q01,25.14119,AG,ATG,North America,2010,01,-0.43
Antigua and Barbuda,2010Q02,25.14119,AG,ATG,North America,2010,02,0.0
Antigua and Barbuda,2010Q03,25.14119,AG,ATG,North America,2010,03,0.0
Antigua and Barbuda,2010Q04,22.31404,AG,ATG,North America,2010,04,-11.25
Antigua and Barbuda,2011Q01,22.99148,AG,ATG,North America,2011,01,3.04
Antigua and Barbuda,2011Q02,22.99148,AG,ATG,North America,2011,02,0.0
Antigua and Barbuda,2011Q03,22.99148,AG,ATG,North America,2011,03,0.0
Antigua and Barbuda,2011Q04,22.99148,AG,ATG,North America,2011,04,0.0
Antigua and Barbuda,2012Q01,22.99,AG,ATG,North America,2012,01,-0.01
Antigua and Barbuda,2012Q02,22.99,AG,ATG,North America,2012,02,0.0
Antigua and Barbuda,2012Q03,22.99,AG,ATG,North America,2012,03,0.0
Antigua and Barbuda,2012Q04,22.99,AG,ATG,North America,2012,04,0.0
Antigua and Barbuda,2013Q01,23.94877,AG,ATG,North America,2013,01,4.17
Antigua and Barbuda,2013Q02,23.94877,AG,ATG,North America,2013,02,0.0
